A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
0.09	0.09	0.09	0.09	0.091	0.09	0.09	0.095	0.09	0.09	0.09	0.09	0.09	0.113	0.112	0.114	0.113	0.104	0.105	0.105	0.104	0.093	0.091	0.09	0.09	0.114	0.113	0.112	0.116	0.102	0.104	0.104	0.113	0.096	0.091	0.09	0.091	0.12	0.113	0.109	0.109	0.107	0.106	0.105	0.104	0.093	0.091	0.09	0.09	0.106	0.104	0.105	0.105	0.097	0.103	0.101	0.099	0.094	0.095	0.095	0.091	0.09	0.09	0.09	0.091	0.09	0.09	0.09	0.09	0.09	0.09	0.093	0.09	0.091	0.09	0.09	0.09	0.091	0.091	0.09	0.09	0.09	0.091	0.091	0.09	0.091	0.091	0.09	0.09	0.091	0.092	0.097	0.09	0.091	0.092	0.09
0.09	0.09	0.09	0.089	0.091	0.089	0.09	0.095	0.09	0.09	0.09	0.09	0.09	0.143	0.137	0.141	0.138	0.115	0.115	0.115	0.115	0.093	0.091	0.09	0.09	0.142	0.138	0.139	0.146	0.111	0.113	0.115	0.124	0.096	0.091	0.09	0.09	0.149	0.131	0.127	0.125	0.116	0.115	0.115	0.114	0.092	0.09	0.09	0.09	0.13	0.122	0.124	0.122	0.103	0.11	0.107	0.106	0.094	0.095	0.095	0.09	0.09	0.09	0.09	0.091	0.09	0.09	0.09	0.09	0.09	0.09	0.093	0.09	0.09	0.09	0.09	0.091	0.091	0.09	0.09	0.09	0.09	0.091	0.091	0.09	0.09	0.091	0.09	0.09	0.091	0.092	0.097	0.09	0.091	0.092	0.09
0.09	0.09	0.09	0.089	0.091	0.089	0.09	0.094	0.09	0.09	0.09	0.09	0.09	0.224	0.217	0.229	0.221	0.145	0.144	0.147	0.146	0.093	0.091	0.09	0.09	0.226	0.218	0.218	0.232	0.137	0.137	0.147	0.154	0.096	0.091	0.09	0.09	0.232	0.196	0.193	0.185	0.145	0.143	0.143	0.143	0.092	0.09	0.09	0.09	0.201	0.179	0.185	0.18	0.121	0.132	0.126	0.125	0.094	0.095	0.095	0.09	0.09	0.09	0.09	0.091	0.09	0.09	0.09	0.09	0.09	0.09	0.093	0.09	0.09	0.09	0.09	0.091	0.091	0.09	0.09	0.09	0.09	0.091	0.091	0.09	0.09	0.091	0.09	0.09	0.091	0.092	0.097	0.091	0.091	0.092	0.09
0.09	0.09	0.09	0.089	0.09	0.089	0.09	0.094	0.091	0.09	0.091	0.09	0.09	0.339	0.326	0.351	0.334	0.223	0.215	0.232	0.228	0.093	0.091	0.09	0.09	0.324	0.319	0.329	0.347	0.199	0.193	0.211	0.215	0.096	0.091	0.09	0.09	0.337	0.294	0.296	0.288	0.214	0.213	0.208	0.216	0.093	0.09	0.09	0.09	0.296	0.27	0.277	0.278	0.166	0.184	0.173	0.169	0.094	0.095	0.095	0.09	0.09	0.09	0.09	0.091	0.09	0.09	0.09	0.09	0.09	0.09	0.093	0.09	0.09	0.09	0.09	0.091	0.091	0.09	0.09	0.09	0.09	0.091	0.091	0.09	0.09	0.091	0.09	0.09	0.091	0.092	0.097	0.091	0.091	0.092	0.09
0.09	0.09	0.09	0.089	0.091	0.089	0.09	0.094	0.091	0.09	0.091	0.089	0.09	0.479	0.461	0.489	0.479	0.353	0.34	0.382	0.367	0.093	0.091	0.09	0.09	0.446	0.437	0.443	0.467	0.287	0.282	0.299	0.306	0.096	0.091	0.09	0.091	0.443	0.377	0.381	0.371	0.31	0.318	0.302	0.318	0.093	0.09	0.09	0.09	0.379	0.357	0.356	0.355	0.249	0.271	0.261	0.247	0.094	0.095	0.095	0.09	0.09	0.09	0.09	0.091	0.09	0.09	0.09	0.09	0.09	0.09	0.093	0.09	0.09	0.09	0.09	0.091	0.091	0.09	0.09	0.09	0.09	0.091	0.091	0.09	0.09	0.091	0.09	0.09	0.091	0.092	0.097	0.091	0.091	0.092	0.09
0.09	0.091	0.09	0.089	0.09	0.093	0.09	0.094	0.092	0.09	0.091	0.089	0.09	0.597	0.566	0.605	0.59	0.527	0.464	0.506	0.508	0.093	0.091	0.09	0.09	0.538	0.528	0.533	0.568	0.372	0.363	0.38	0.385	0.096	0.09	0.089	0.092	0.52	0.438	0.452	0.445	0.382	0.39	0.378	0.388	0.093	0.09	0.09	0.09	0.443	0.428	0.424	0.431	0.31	0.343	0.327	0.303	0.094	0.095	0.095	0.09	0.09	0.09	0.09	0.091	0.09	0.09	0.09	0.09	0.089	0.09	0.093	0.09	0.091	0.09	0.09	0.09	0.091	0.09	0.09	0.09	0.09	0.091	0.091	0.09	0.091	0.091	0.09	0.09	0.091	0.092	0.097	0.09	0.091	0.092	0.09
0.09	0.09	0.09	0.089	0.09	0.093	0.09	0.094	0.092	0.09	0.091	0.089	0.09	0.643	0.631	0.668	0.663	0.683	0.564	0.615	0.608	0.093	0.091	0.089	0.09	0.595	0.581	0.584	0.625	0.45	0.442	0.462	0.462	0.096	0.09	0.089	0.092	0.59	0.499	0.528	0.521	0.468	0.472	0.466	0.463	0.093	0.09	0.09	0.09	0.499	0.493	0.484	0.498	0.384	0.437	0.406	0.351	0.094	0.095	0.095	0.09	0.09	0.09	0.09	0.091	0.09	0.09	0.09	0.09	0.089	0.09	0.093	0.09	0.09	0.09	0.09	0.09	0.091	0.09	0.09	0.09	0.09	0.091	0.091	0.09	0.09	0.091	0.09	0.09	0.091	0.092	0.098	0.09	0.091	0.092	0.09
0.09	0.091	0.09	0.089	0.09	0.093	0.09	0.094	0.092	0.09	0.091	0.089	0.09	0.683	0.668	0.697	0.677	0.7	0.577	0.596	0.687	0.093	0.091	0.089	0.09	0.631	0.611	0.618	0.664	0.496	0.488	0.513	0.514	0.096	0.09	0.089	0.092	0.647	0.563	0.591	0.584	0.523	0.522	0.522	0.506	0.093	0.09	0.09	0.09	0.56	0.559	0.547	0.566	0.454	0.509	0.468	0.369	0.094	0.095	0.095	0.09	0.09	0.09	0.09	0.091	0.09	0.09	0.09	0.09	0.089	0.09	0.093	0.09	0.091	0.09	0.09	0.09	0.091	0.09	0.09	0.09	0.09	0.091	0.091	0.09	0.09	0.091	0.09	0.09	0.091	0.092	0.099	0.091	0.091	0.092	0.09
0.09	0.091	0.09	0.089	0.09	0.093	0.09	0.094	0.092	0.09	0.091	0.089	0.09	0.697	0.686	0.715	0.7	0.692	0.569	0.608	0.762	0.093	0.091	0.089	0.09	0.656	0.635	0.64	0.696	0.514	0.498	0.529	0.54	0.096	0.09	0.089	0.092	0.708	0.618	0.64	0.639	0.551	0.548	0.561	0.552	0.093	0.09	0.09	0.09	0.622	0.628	0.62	0.65	0.524	0.568	0.555	0.394	0.093	0.095	0.095	0.09	0.09	0.09	0.09	0.091	0.09	0.09	0.09	0.09	0.089	0.09	0.093	0.09	0.09	0.09	0.09	0.09	0.091	0.089	0.09	0.09	0.09	0.091	0.091	0.09	0.09	0.091	0.09	0.09	0.091	0.092	0.099	0.09	0.091	0.092	0.09
0.09	0.09	0.09	0.089	0.09	0.093	0.09	0.094	0.092	0.09	0.091	0.089	0.09	0.703	0.697	0.724	0.721	0.726	0.577	0.658	0.788	0.093	0.091	0.089	0.09	0.686	0.664	0.668	0.724	0.525	0.518	0.587	0.611	0.096	0.09	0.089	0.092	0.756	0.662	0.681	0.695	0.596	0.601	0.617	0.612	0.093	0.09	0.09	0.09	0.673	0.701	0.681	0.718	0.592	0.63	0.628	0.489	0.094	0.095	0.095	0.09	0.09	0.09	0.09	0.091	0.09	0.09	0.09	0.09	0.089	0.09	0.093	0.09	0.09	0.09	0.09	0.09	0.091	0.09	0.09	0.09	0.09	0.091	0.091	0.09	0.091	0.091	0.09	0.09	0.091	0.092	0.101	0.09	0.091	0.092	0.09
0.09	0.09	0.09	0.089	0.09	0.091	0.09	0.094	0.091	0.09	0.09	0.09	0.09	0.695	0.702	0.733	0.729	0.671	0.578	0.64	0.77	0.092	0.09	0.089	0.09	0.696	0.678	0.682	0.744	0.542	0.543	0.601	0.595	0.096	0.09	0.089	0.092	0.788	0.694	0.71	0.727	0.629	0.633	0.65	0.65	0.093	0.09	0.09	0.09	0.727	0.765	0.738	0.782	0.627	0.663	0.661	0.552	0.093	0.095	0.095	0.09	0.09	0.09	0.09	0.091	0.09	0.09	0.09	0.09	0.089	0.09	0.093	0.09	0.09	0.09	0.09	0.09	0.091	0.09	0.09	0.09	0.09	0.09	0.091	0.09	0.09	0.091	0.09	0.09	0.091	0.092	0.101	0.09	0.091	0.092	0.09
0.09	0.09	0.09	0.089	0.091	0.089	0.09	0.094	0.09	0.09	0.09	0.098	0.09	0.706	0.703	0.73	0.729	0.64	0.575	0.627	0.755	0.093	0.091	0.09	0.09	0.706	0.688	0.695	0.761	0.542	0.553	0.59	0.57	0.096	0.091	0.089	0.09	0.82	0.726	0.736	0.759	0.644	0.651	0.671	0.678	0.093	0.09	0.09	0.09	0.787	0.83	0.8	0.844	0.646	0.679	0.674	0.6	0.093	0.095	0.095	0.09	0.09	0.09	0.09	0.091	0.09	0.09	0.09	0.09	0.089	0.09	0.093	0.09	0.09	0.09	0.09	0.091	0.091	0.09	0.09	0.09	0.09	0.09	0.091	0.09	0.09	0.091	0.09	0.09	0.091	0.092	0.101	0.09	0.091	0.092	0.09
0.09	0.09	0.09	0.089	0.091	0.089	0.091	0.094	0.09	0.09	0.09	0.097	0.09	0.708	0.702	0.73	0.724	0.664	0.565	0.62	0.742	0.092	0.091	0.09	0.09	0.711	0.698	0.7	0.768	0.521	0.528	0.555	0.533	0.096	0.092	0.089	0.09	0.855	0.757	0.757	0.785	0.659	0.665	0.686	0.695	0.093	0.09	0.09	0.09	0.85	0.888	0.862	0.906	0.659	0.686	0.678	0.638	0.093	0.095	0.095	0.091	0.09	0.09	0.09	0.091	0.09	0.09	0.09	0.09	0.089	0.09	0.093	0.09	0.091	0.09	0.09	0.09	0.092	0.09	0.09	0.09	0.09	0.091	0.091	0.09	0.09	0.091	0.09	0.09	0.091	0.091	0.101	0.09	0.091	0.092	0.09
0.09	0.09	0.09	0.089	0.091	0.089	0.091	0.094	0.09	0.09	0.09	0.095	0.09	0.708	0.699	0.729	0.723	0.657	0.564	0.64	0.741	0.093	0.091	0.09	0.09	0.717	0.71	0.706	0.777	0.512	0.518	0.54	0.508	0.096	0.092	0.089	0.09	0.903	0.803	0.792	0.828	0.692	0.7	0.722	0.736	0.093	0.09	0.09	0.09	0.922	0.951	0.93	0.969	0.701	0.72	0.71	0.686	0.093	0.095	0.095	0.091	0.09	0.09	0.09	0.091	0.09	0.09	0.09	0.09	0.089	0.09	0.093	0.09	0.091	0.09	0.09	0.09	0.092	0.09	0.09	0.09	0.09	0.091	0.091	0.09	0.09	0.091	0.09	0.09	0.091	0.092	0.101	0.09	0.091	0.092	0.09
0.09	0.09	0.09	0.089	0.091	0.089	0.091	0.094	0.09	0.09	0.09	0.092	0.09	0.704	0.695	0.721	0.72	0.648	0.535	0.622	0.71	0.092	0.091	0.09	0.09	0.729	0.711	0.716	0.78	0.498	0.504	0.517	0.484	0.096	0.092	0.089	0.09	0.938	0.836	0.823	0.854	0.689	0.697	0.717	0.732	0.093	0.09	0.09	0.09	0.95	0.982	0.978	1.006	0.696	0.712	0.698	0.692	0.093	0.095	0.095	0.091	0.09	0.09	0.09	0.091	0.09	0.09	0.09	0.09	0.089	0.09	0.091	0.09	0.091	0.09	0.09	0.09	0.092	0.09	0.09	0.09	0.09	0.091	0.091	0.09	0.09	0.091	0.09	0.09	0.091	0.092	0.101	0.09	0.091	0.092	0.09
0.09	0.09	0.09	0.089	0.091	0.089	0.091	0.094	0.09	0.09	0.09	0.09	0.09	0.702	0.695	0.723	0.716	0.64	0.531	0.583	0.722	0.092	0.091	0.09	0.09	0.729	0.718	0.719	0.791	0.469	0.477	0.48	0.466	0.096	0.092	0.089	0.09	0.97	0.879	0.86	0.889	0.673	0.678	0.7	0.715	0.093	0.09	0.09	0.09	0.993	1.018	1.014	1.053	0.672	0.689	0.676	0.68	0.093	0.095	0.095	0.091	0.09	0.09	0.09	0.091	0.09	0.09	0.09	0.09	0.089	0.09	0.091	0.09	0.091	0.09	0.09	0.09	0.092	0.09	0.09	0.09	0.09	0.091	0.091	0.09	0.09	0.091	0.09	0.09	0.091	0.092	0.101	0.09	0.091	0.092	0.09
0.09	0.09	0.09	0.089	0.091	0.089	0.091	0.094	0.09	0.09	0.09	0.09	0.09	0.701	0.693	0.721	0.713	0.619	0.525	0.579	0.707	0.093	0.091	0.09	0.09	0.751	0.722	0.717	0.792	0.459	0.467	0.463	0.449	0.096	0.092	0.089	0.09	1.012	0.919	0.896	0.926	0.685	0.694	0.713	0.731	0.093	0.09	0.09	0.09	1.047	1.06	1.059	1.081	0.695	0.704	0.689	0.701	0.093	0.095	0.095	0.091	0.09	0.09	0.09	0.091	0.09	0.09	0.09	0.09	0.089	0.09	0.091	0.09	0.091	0.09	0.09	0.09	0.092	0.09	0.09	0.09	0.09	0.09	0.091	0.09	0.09	0.091	0.09	0.09	0.091	0.091	0.101	0.09	0.091	0.092	0.09
0.09	0.09	0.09	0.089	0.091	0.089	0.091	0.094	0.09	0.09	0.09	0.09	0.09	0.701	0.693	0.718	0.718	0.59	0.515	0.555	0.693	0.093	0.091	0.09	0.09	0.758	0.719	0.714	0.788	0.455	0.466	0.454	0.443	0.096	0.092	0.089	0.09	1.045	0.955	0.932	0.961	0.697	0.701	0.721	0.741	0.093	0.09	0.09	0.09	1.089	1.101	1.101	1.124	0.707	0.707	0.694	0.706	0.093	0.095	0.095	0.091	0.09	0.09	0.09	0.091	0.09	0.09	0.09	0.09	0.089	0.09	0.091	0.09	0.091	0.09	0.09	0.09	0.092	0.09	0.09	0.09	0.09	0.091	0.091	0.09	0.09	0.091	0.09	0.09	0.091	0.092	0.101	0.09	0.091	0.092	0.09
