A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
0.09	0.091	0.089	0.089	0.09	0.09	0.091	0.089	0.09	0.095	0.09	0.089	0.09	0.731	0.668	0.646	0.09	0.749	0.762	0.754	0.09	0.089	0.089	0.09	0.09	0.773	0.67	0.647	0.09	0.742	0.787	0.757	0.09	0.089	0.09	0.09	0.09	0.747	0.644	0.622	0.09	0.766	0.802	0.764	0.09	0.09	0.091	0.09	0.09	0.719	0.687	0.63	0.09	0.764	0.791	0.756	0.091	0.09	0.09	0.09	0.091	0.092	0.092	0.091	0.09	0.092	0.091	0.091	0.09	0.089	0.09	0.091	0.09	0.09	0.091	0.09	0.091	0.09	0.091	0.089	0.09	0.09	0.091	0.09	0.089	0.091	0.092	0.09	0.092	0.095	0.09	0.09	0.093	0.091	0.091	0.089
0.09	0.091	0.089	0.089	0.09	0.09	0.091	0.089	0.09	0.096	0.09	0.089	0.09	0.729	0.662	0.646	0.09	0.756	0.779	0.721	0.09	0.089	0.089	0.09	0.09	0.772	0.667	0.639	0.09	0.732	0.771	0.733	0.089	0.089	0.09	0.09	0.09	0.753	0.641	0.618	0.09	0.77	0.772	0.768	0.09	0.091	0.091	0.09	0.09	0.717	0.683	0.626	0.09	0.76	0.76	0.752	0.091	0.09	0.09	0.09	0.091	0.093	0.092	0.091	0.09	0.092	0.091	0.091	0.09	0.089	0.09	0.091	0.09	0.09	0.091	0.09	0.091	0.09	0.091	0.089	0.09	0.09	0.091	0.09	0.089	0.091	0.092	0.09	0.092	0.095	0.09	0.09	0.093	0.091	0.091	0.089
0.09	0.091	0.089	0.09	0.09	0.09	0.091	0.089	0.09	0.095	0.09	0.089	0.09	0.728	0.67	0.649	0.09	0.757	0.785	0.731	0.09	0.089	0.089	0.09	0.09	0.771	0.668	0.649	0.09	0.75	0.791	0.76	0.089	0.089	0.09	0.09	0.091	0.749	0.646	0.62	0.09	0.767	0.775	0.768	0.09	0.091	0.091	0.09	0.09	0.717	0.692	0.633	0.09	0.78	0.763	0.768	0.091	0.09	0.09	0.09	0.091	0.092	0.092	0.091	0.09	0.092	0.091	0.091	0.09	0.089	0.09	0.091	0.09	0.09	0.091	0.09	0.091	0.09	0.091	0.089	0.09	0.09	0.091	0.09	0.089	0.091	0.092	0.09	0.092	0.095	0.091	0.09	0.093	0.091	0.091	0.089
0.09	0.091	0.089	0.09	0.09	0.09	0.091	0.089	0.09	0.095	0.09	0.089	0.09	0.723	0.665	0.642	0.09	0.793	0.766	0.722	0.09	0.089	0.089	0.09	0.09	0.768	0.672	0.644	0.09	0.74	0.771	0.747	0.089	0.089	0.09	0.09	0.091	0.75	0.649	0.623	0.09	0.77	0.797	0.764	0.09	0.091	0.091	0.09	0.09	0.712	0.69	0.632	0.09	0.785	0.788	0.771	0.091	0.09	0.09	0.09	0.091	0.093	0.092	0.091	0.09	0.092	0.091	0.091	0.09	0.089	0.09	0.091	0.09	0.09	0.091	0.09	0.091	0.09	0.091	0.089	0.09	0.09	0.091	0.09	0.089	0.091	0.092	0.09	0.092	0.095	0.091	0.09	0.093	0.091	0.091	0.089
0.09	0.091	0.089	0.09	0.09	0.09	0.091	0.089	0.09	0.095	0.09	0.089	0.09	0.728	0.671	0.644	0.09	0.765	0.758	0.723	0.09	0.089	0.089	0.09	0.09	0.774	0.665	0.653	0.09	0.733	0.774	0.744	0.089	0.089	0.09	0.09	0.091	0.746	0.652	0.627	0.09	0.771	0.795	0.752	0.09	0.091	0.091	0.09	0.09	0.712	0.692	0.635	0.09	0.781	0.771	0.76	0.091	0.09	0.09	0.09	0.091	0.092	0.092	0.091	0.09	0.092	0.091	0.091	0.09	0.089	0.09	0.091	0.09	0.09	0.091	0.09	0.091	0.09	0.091	0.089	0.089	0.09	0.091	0.09	0.089	0.091	0.092	0.09	0.092	0.095	0.091	0.09	0.093	0.091	0.091	0.089
0.09	0.091	0.089	0.09	0.09	0.09	0.091	0.089	0.09	0.095	0.09	0.089	0.09	0.733	0.671	0.648	0.09	0.778	0.759	0.724	0.09	0.089	0.089	0.09	0.09	0.768	0.677	0.649	0.09	0.732	0.764	0.748	0.089	0.089	0.09	0.09	0.091	0.746	0.652	0.625	0.09	0.764	0.798	0.748	0.09	0.091	0.091	0.09	0.09	0.712	0.698	0.635	0.09	0.777	0.782	0.765	0.091	0.09	0.09	0.09	0.091	0.092	0.092	0.091	0.09	0.092	0.091	0.091	0.09	0.089	0.09	0.091	0.09	0.09	0.091	0.09	0.091	0.09	0.091	0.089	0.09	0.09	0.091	0.091	0.089	0.091	0.092	0.09	0.092	0.095	0.091	0.09	0.093	0.091	0.091	0.09
0.09	0.091	0.089	0.09	0.09	0.09	0.091	0.089	0.09	0.095	0.09	0.089	0.09	0.735	0.677	0.649	0.09	0.781	0.768	0.729	0.09	0.089	0.089	0.09	0.09	0.775	0.68	0.658	0.09	0.732	0.773	0.753	0.089	0.089	0.09	0.09	0.091	0.752	0.656	0.626	0.09	0.762	0.804	0.749	0.09	0.091	0.091	0.09	0.09	0.721	0.7	0.645	0.09	0.772	0.794	0.764	0.091	0.09	0.09	0.09	0.091	0.092	0.092	0.091	0.09	0.092	0.091	0.091	0.09	0.089	0.09	0.091	0.09	0.09	0.091	0.09	0.091	0.09	0.091	0.089	0.089	0.09	0.091	0.09	0.089	0.091	0.091	0.09	0.092	0.095	0.09	0.089	0.093	0.091	0.091	0.089
0.091	0.091	0.089	0.09	0.09	0.09	0.091	0.089	0.09	0.096	0.09	0.089	0.09	0.735	0.676	0.651	0.09	0.788	0.767	0.734	0.09	0.089	0.089	0.09	0.09	0.783	0.691	0.659	0.09	0.741	0.777	0.754	0.089	0.089	0.09	0.09	0.091	0.755	0.659	0.632	0.09	0.763	0.808	0.756	0.09	0.091	0.091	0.09	0.09	0.716	0.704	0.648	0.09	0.772	0.799	0.769	0.091	0.09	0.09	0.09	0.091	0.092	0.092	0.091	0.09	0.092	0.091	0.091	0.09	0.089	0.09	0.091	0.09	0.09	0.091	0.09	0.091	0.09	0.091	0.089	0.09	0.09	0.091	0.091	0.089	0.091	0.092	0.09	0.092	0.095	0.091	0.09	0.093	0.091	0.091	0.09
0.09	0.092	0.089	0.09	0.09	0.09	0.091	0.089	0.09	0.096	0.09	0.089	0.09	0.738	0.68	0.657	0.09	0.791	0.772	0.742	0.09	0.089	0.089	0.09	0.09	0.784	0.694	0.665	0.09	0.743	0.782	0.757	0.09	0.089	0.09	0.09	0.091	0.752	0.658	0.638	0.091	0.763	0.816	0.756	0.09	0.091	0.091	0.09	0.09	0.718	0.707	0.655	0.09	0.771	0.801	0.77	0.09	0.09	0.091	0.09	0.091	0.092	0.092	0.091	0.09	0.092	0.091	0.091	0.09	0.089	0.09	0.091	0.09	0.09	0.091	0.09	0.091	0.09	0.091	0.089	0.09	0.09	0.091	0.09	0.089	0.09	0.092	0.09	0.092	0.092	0.091	0.09	0.092	0.091	0.091	0.089
0.09	0.091	0.089	0.089	0.09	0.09	0.091	0.089	0.09	0.096	0.09	0.089	0.09	0.738	0.681	0.66	0.09	0.789	0.779	0.745	0.09	0.089	0.089	0.09	0.09	0.786	0.7	0.668	0.09	0.746	0.786	0.766	0.089	0.089	0.09	0.09	0.091	0.751	0.668	0.641	0.09	0.763	0.818	0.757	0.09	0.09	0.091	0.09	0.09	0.717	0.707	0.654	0.09	0.772	0.802	0.772	0.09	0.09	0.09	0.09	0.091	0.092	0.092	0.091	0.09	0.093	0.091	0.091	0.09	0.089	0.09	0.091	0.09	0.09	0.091	0.09	0.091	0.09	0.091	0.089	0.089	0.09	0.091	0.09	0.089	0.09	0.092	0.09	0.092	0.092	0.091	0.09	0.092	0.091	0.091	0.089
